"deb_sem";"code";"sites";"occurence";"East";"South";"High_land";"Fringe";"excepted_East";"excepted_High_land";"weeks";"years"
"2014-03-24";"2014_13";"abv";3;NA;1;NA;NA;1;1;13;2014
"2015-03-23";"2015_13";"abv";3;NA;1;NA;NA;1;1;13;2015
"2016-03-28";"2016_13";"abv";0;NA;1;NA;NA;1;1;13;2016
"2008-03-31";"2008_14";"abv";NA;NA;1;NA;NA;1;1;14;2008
"2009-03-30";"2009_14";"abv";NA;NA;1;NA;NA;1;1;14;2009
"2010-04-05";"2010_14";"abv";3;NA;1;NA;NA;1;1;14;2010
"2011-04-04";"2011_14";"abv";3;NA;1;NA;NA;1;1;14;2011
"2012-04-02";"2012_14";"abv";1;NA;1;NA;NA;1;1;14;2012
"2013-04-01";"2013_14";"abv";6;NA;1;NA;NA;1;1;14;2013
"2014-03-31";"2014_14";"abv";NA;NA;1;NA;NA;1;1;14;2014
"2015-03-30";"2015_14";"abv";3;NA;1;NA;NA;1;1;14;2015
"2016-04-04";"2016_14";"abv";6;NA;1;NA;NA;1;1;14;2016
"2007-04-09";"2007_15";"abv";NA;NA;1;NA;NA;1;1;15;2007
"2008-04-07";"2008_15";"abv";NA;NA;1;NA;NA;1;1;15;2008
"2009-04-06";"2009_15";"abv";NA;NA;1;NA;NA;1;1;15;2009
"2010-04-12";"2010_15";"abv";3;NA;1;NA;NA;1;1;15;2010
"2011-04-11";"2011_15";"abv";1;NA;1;NA;NA;1;1;15;2011
"2012-04-09";"2012_15";"abv";2;NA;1;NA;NA;1;1;15;2012
"2013-04-08";"2013_15";"abv";2;NA;1;NA;NA;1;1;15;2013
"2014-04-07";"2014_15";"abv";NA;NA;1;NA;NA;1;1;15;2014
"2015-04-06";"2015_15";"abv";4;NA;1;NA;NA;1;1;15;2015
"2016-04-11";"2016_15";"abv";5;NA;1;NA;NA;1;1;15;2016
"2007-04-16";"2007_16";"abv";NA;NA;1;NA;NA;1;1;16;2007
"2008-04-14";"2008_16";"abv";NA;NA;1;NA;NA;1;1;16;2008
"2009-04-13";"2009_16";"abv";NA;NA;1;NA;NA;1;1;16;2009
"2010-04-19";"2010_16";"abv";1;NA;1;NA;NA;1;1;16;2010
"2011-04-18";"2011_16";"abv";2;NA;1;NA;NA;1;1;16;2011
"2012-04-16";"2012_16";"abv";3;NA;1;NA;NA;1;1;16;2012
"2013-04-15";"2013_16";"abv";1;NA;1;NA;NA;1;1;16;2013
"2014-04-14";"2014_16";"abv";2;NA;1;NA;NA;1;1;16;2014
