code,deb_sem,abon,abv,abz,ahh,ajb,ambl,ants,atb,bel,bela,bhk,boe,bos,cda,die,diri,dona,dri,ejd,far,fito,fns,iho,mae,mand,mdv,mhj,mia,miad,mjr,mnj,mnld,mora,mrb,mrg,mrt,mtn,nsb,samp,sbv,snam,stm,tanb,tdd,tgr,tlr,toa,tomp,tsar,tsim,tsl,velo,vink,vola
2015_37,16685,2,0,1,0,0,0,0,8,13,0,4,5,4,0,2,0,0,6,3,15,,3,2,3,0,0,4,0,0,1,0,3,0,4,4,2,3,13,3,5,0,0,2,6,0,10,7,0,0,0,1,0,0,0
2015_36,16678,0,0,3,1,0,0,0,12,3,0,3,3,1,0,0,0,1,1,1,17,,2,4,0,0,4,0,0,0,2,0,1,1,7,5,0,0,11,6,4,2,0,0,3,0,13,16,0,0,0,2,0,0,1
2015_35,16671,0,0,1,0,1,0,2,9,6,0,4,10,0,0,0,0,0,3,2,17,,1,2,21,0,0,4,0,0,1,0,5,0,6,10,2,3,10,8,3,0,0,3,10,2,13,13,0,0,0,2,1,0,7
2015_34,16664,0,0,2,2,0,0,1,10,0,0,6,7,0,0,0,0,0,7,1,11,,3,0,13,0,2,0,0,0,2,1,10,0,4,3,0,5,10,4,3,0,0,3,6,0,10,15,0,0,0,4,0,0,4
2015_33,16657,2,1,4,2,1,0,0,14,2,0,8,7,5,0,0,0,0,2,1,18,,2,1,22,3,3,1,0,0,3,0,8,0,7,5,5,5,18,0,0,0,0,1,6,0,5,15,0,0,0,5,0,0,0
2015_32,16650,1,2,2,1,0,0,6,3,1,0,2,9,6,0,0,0,1,0,2,14,0,4,0,11,1,4,1,0,0,2,0,11,0,0,7,0,2,9,0,1,0,0,6,13,0,6,7,1,0,0,3,0,0,3
2015_31,16643,0,0,5,0,1,0,1,4,10,0,2,1,6,0,1,0,0,6,4,20,0,3,1,15,0,4,2,0,0,1,1,8,1,2,4,4,3,9,3,2,5,0,5,8,0,4,5,0,0,2,4,1,0,4
2015_30,16636,0,0,1,3,5,0,0,7,12,0,0,13,0,0,0,0,5,1,3,6,0,0,1,0,0,4,0,0,0,1,0,0,0,2,4,0,2,21,0,0,0,0,6,5,0,2,6,0,0,0,8,10,0,2
2015_29,16629,,3,1,8,1,,,10,5,,1,17,6,0,0,,,0,3,4,,2,2,17,,5,4,0,,2,0,,,0,7,7,5,18,,3,,0,,12,0,0,5,,,,6,,,
2015_28,16622,,0,4,9,0,,,17,16,,0,23,8,0,0,,,4,4,11,,3,11,18,,6,2,4,,0,0,,,0,13,4,0,20,,7,,0,,20,0,5,11,,,,6,,,
2015_27,16615,,0,2,3,1,,,8,11,,0,6,7,0,1,,,7,,14,,12,16,5,,3,6,3,,0,0,,,0,15,0,13,21,,2,,0,,24,0,4,9,,,,6,,,
2015_26,16608,,,0,4,2,,,4,6,,0,5,6,0,0,,,0,,14,,2,13,22,,1,3,1,,0,0,,,,6,2,3,18,,0,,0,,8,0,10,6,,,,3,,,
2015_25,16601,,,0,2,4,,,9,2,,4,16,14,1,1,,,6,,6,,4,18,19,,4,6,3,,1,0,,,,9,0,7,29,,0,,0,,11,0,13,3,,,,5,,,
2015_24,16594,,1,2,20,1,,,17,9,,1,24,12,0,2,,,4,,19,,2,19,10,,5,3,9,,0,0,,,,14,3,7,27,,0,,0,,26,0,7,5,,,,5,,,
2015_23,16587,,1,7,10,3,,,9,2,,5,16,10,0,1,,,1,,11,,4,9,11,,2,6,2,,1,0,4,,,7,6,14,34,,1,,0,,20,0,12,7,,,,4,,,
2015_22,16580,,,9,12,0,,,12,2,,2,22,5,0,0,,,2,,10,,3,14,7,,6,6,2,,1,4,,,,6,9,2,24,,0,,0,,24,0,12,4,,,,3,,,
2015_21,16573,,4,8,5,3,,,15,7,,5,11,8,0,2,,,8,,10,,3,8,3,,0,7,1,,1,0,,,,0,6,4,28,,0,,2,,20,0,9,12,,,,1,,,
2015_20,16566,,1,9,0,3,,,14,9,,4,21,10,0,0,,,3,,11,,0,4,4,,2,2,9,,0,2,,,,4,3,12,0,,0,,0,,20,0,0,4,,,,0,,,
2015_19,16559,,0,3,1,3,,,22,14,,8,9,10,0,0,,,4,,21,,3,3,4,,3,5,5,,1,2,,,,18,0,8,33,,2,,2,,28,0,2,7,,,,0,,,
2015_18,16552,,0,3,6,0,,,14,13,,5,17,17,0,0,,,4,,6,,2,2,0,,5,2,3,,0,2,,,,9,3,8,23,,5,,0,,31,0,2,7,,,,0,,,
2015_17,16545,,1,3,5,3,,,19,8,,11,10,17,0,0,,,4,,27,,1,4,9,,5,1,6,,0,0,,,,7,4,9,14,,3,,4,,29,0,5,13,,,,3,,,
2015_16,16538,,0,8,6,2,,,28,6,,0,12,9,0,0,,,2,,22,,2,2,11,,8,0,5,,4,2,,,,6,8,17,19,,0,,0,,32,0,4,13,,,,1,,,
2015_15,16531,,0,6,4,0,,,24,6,,0,9,8,0,0,,,0,,17,,3,3,22,,2,1,3,,0,2,,,,16,6,14,20,,1,,0,,25,0,1,8,,,,5,,,
2015_14,16524,,0,4,3,0,,,27,14,,1,8,10,0,1,,,6,,12,,6,4,36,,2,2,2,,1,1,,,,15,2,12,22,,5,,1,,28,0,5,12,,,,6,,,
2015_13,16517,,0,12,14,1,,,51,18,,5,13,8,0,2,,,18,,17,,3,20,74,,4,2,3,,6,1,,,,41,1,,22,,3,,1,,22,0,6,31,,,,9,,,
2015_12,16510,,0,13,22,3,,,44,24,,25,9,19,0,1,,,4,,18,,8,10,37,,5,2,14,,4,3,,,,33,2,11,22,,1,,0,,14,0,8,29,,,,11,,,
2015_11,16503,,0,21,25,3,,,28,26,,19,6,10,0,3,,,10,,23,,7,14,72,,22,7,8,,3,3,,,,24,1,9,39,,4,,1,,11,0,13,22,,,,9,,,
2015_10,16496,,0,14,29,5,,,42,26,,12,0,4,0,3,,,12,,25,,3,11,69,,32,13,16,,4,1,,,,30,4,8,59,,2,,0,,13,0,10,34,,,,14,,,
2015_09,16489,,0,10,22,2,,,16,32,,17,3,6,0,0,,,18,,28,0,4,10,31,,8,14,10,,6,2,,,,25,4,25,115,,3,,2,,4,0,7,31,,,,9,,,
