code,deb_sem,abon,abv,abz,ahh,ajb,ambl,ants,atb,bel,bela,bhk,boe,bos,cda,die,diri,dona,dri,ejd,far,fito,fns,iho,mae,mand,mdv,mhj,mia,miad,mjr,mnj,mnld,mora,mrb,mrg,mrt,mtn,nsb,samp,sbv,snam,stm,tanb,tdd,tgr,tlr,toa,tomp,tsar,tsim,tsl,velo,vink,vola
2015_25,16601,,,15,3,0,,,13,5,,8,8,11,7,13,,,13,,12,,4,1,34,,10,6,11,,2,14,,,,9,6,3,44,,24,,0,,23,0,8,6,,,,9,,,
2015_24,16594,,3,5,1,0,,,17,6,,6,11,5,7,12,,,15,,12,,3,0,36,,10,4,2,,4,3,,,,9,10,2,46,,9,,0,,46,0,6,0,,,,8,,,
2015_23,16587,,3,8,4,0,,,23,13,,13,18,7,5,14,,,17,,6,,4,5,80,,4,2,7,,2,6,2,,,5,4,5,47,,17,,1,,58,2,14,5,,,,11,,,
2015_22,16580,,,3,3,0,,,8,12,,16,18,4,5,11,,,13,,8,,6,2,35,,2,0,8,,2,11,,,,5,14,5,33,,12,,1,,35,0,8,2,,,,8,,,
2015_21,16573,,5,6,2,0,,,14,9,,12,26,4,9,12,,,23,,5,,1,2,34,,6,2,5,,1,5,,,,1,12,6,45,,21,,2,,36,2,14,6,,,,13,,,
2015_20,16566,,5,5,0,0,,,9,13,,13,27,9,13,4,,,5,,10,,1,2,34,,8,5,4,,1,9,,,,1,1,2,0,,23,,4,,25,0,16,4,,,,3,,,
2015_19,16559,,3,2,2,0,,,14,9,,5,26,1,11,9,,,6,,7,,4,0,16,,15,5,1,,3,7,,,,9,9,3,31,,21,,1,,41,1,18,7,,,,9,,,
2015_18,16552,,9,3,1,0,,,7,14,,10,17,6,11,8,,,4,,7,,2,2,17,,9,1,2,,3,14,,,,6,8,3,35,,15,,2,,22,1,15,7,,,,1,,,
2015_17,16545,,4,8,2,1,,,14,13,,9,17,7,9,7,,,11,,5,,2,2,16,,18,4,4,,1,20,,,,8,6,4,32,,26,,2,,16,2,17,9,,,,6,,,
2015_16,16538,,3,6,1,0,,,15,12,,10,13,4,4,10,,,15,,6,,5,3,13,,19,3,2,,2,17,,,,4,2,7,32,,18,,0,,9,1,14,6,,,,13,,,
2015_15,16531,,4,2,0,0,,,6,3,,9,6,2,3,11,,,5,,4,,3,0,6,,10,1,1,,2,12,,,,4,8,5,21,,21,,0,,8,1,11,3,,,,5,,,
