code,deb_sem,abon,abv,abz,ahh,ajb,ambl,ants,atb,bel,bela,bhk,boe,bos,cda,die,diri,dona,dri,ejd,far,fito,fns,iho,mae,mand,mdv,mhj,mia,miad,mjr,mnj,mnld,mora,mrb,mrg,mrt,mtn,nsb,samp,sbv,snam,stm,tanb,tdd,tgr,tlr,toa,tomp,tsar,tsim,tsl,velo,vink,vola
2010_24,14774,,,7,10,,,,6,,,6,,,7,14,,,,1,25,,9,3,58,,18,9,39,,2,9,,,,33,,,48,,8,,,,26,17,16,52,,,,1,,,
2010_23,14767,,22,2,29,,,,12,,,4,,,10,31,,,,2,19,,3,11,30,,20,9,32,,4,11,,,,42,,,78,,5,,,,3,16,17,46,,,,1,,,
2010_22,14760,,2,1,19,,,,10,,,3,,,7,19,,,,1,9,,1,5,25,,13,9,39,,5,6,,,,64,,,33,,9,,,,36,11,16,88,,,,0,,,
2010_21,14753,,2,,18,,,,8,,,3,,,2,14,,,,1,28,,7,4,40,,9,8,36,,8,5,,,,44,,,17,,21,,3,,35,5,6,70,,,,0,,,
2010_20,14746,,4,4,25,,,,17,,,13,,,1,24,,,,0,61,,2,7,65,,3,8,68,,10,12,,,,35,,,22,,30,,,,28,20,19,73,,,,0,,,
2010_19,14739,,2,12,14,,,,12,,,6,,,3,12,,,,6,55,,3,7,44,,6,9,33,,3,13,,,,32,,,20,,10,,,,24,11,12,39,,,,0,,,
2010_18,14732,,2,3,17,,,,33,,,12,,,4,26,,,,0,44,,3,9,86,,10,21,4,,5,11,,,,29,,,54,,14,,,,22,18,13,80,,,,0,,,
2010_17,14725,,4,12,36,,,,15,,,11,,,3,35,,,,0,23,,1,4,101,,24,6,,,5,15,,,,33,,,51,,15,,0,,20,12,10,38,,,,0,,,
2010_16,14718,,2,10,28,,,,8,,,6,,,1,34,,,,2,54,,4,1,94,,16,20,,,2,10,,,,27,,,70,,15,,0,,23,16,6,56,,,,0,,,
2010_15,14711,,1,4,20,,,,14,,,13,,,4,27,,,,0,68,,5,0,89,,14,11,,,5,6,,,,8,,,83,,10,,3,,9,8,4,13,,,,1,,,
2010_14,14704,,5,0,9,,,,16,,,19,,,2,59,,,,0,45,,4,1,101,,6,16,,,4,14,,,,13,,,89,,12,,3,,19,6,2,12,,,,0,,,
2010_13,14697,,2,0,13,,,,11,,,14,,,1,21,,,,0,33,,4,6,95,,8,14,,,3,5,,,,8,,,78,,22,,9,,15,17,3,4,,,,0,,,
2010_12,14690,,3,,9,,,,4,,,18,,,2,,,,,0,27,,4,5,84,,4,20,,,1,19,,,,,,,68,,39,,8,,18,11,7,7,,,,0,,,
2010_11,14683,,1,,5,,,,8,,,19,,,4,37,,,,0,19,,2,3,64,,9,15,,,3,10,,,,8,,,76,,44,,,,11,10,6,24,,,,0,,,
2010_10,14676,,3,,0,,,,8,,,7,,,2,46,,,,0,0,,0,0,60,,6,16,,,3,20,,,,19,,,51,,39,,0,,22,9,12,14,,,,0,,,
2010_09,14669,,1,2,1,,,,4,,,5,,,2,52,,,,2,13,,5,1,66,,10,12,,,1,101,,,,5,,,60,,71,,4,,17,7,10,11,,,,0,,,
2010_08,14662,,4,,6,,,,0,,,8,,,2,48,,,,6,16,,2,,68,,12,4,,,5,202,,,,4,,,44,,100,,,,23,11,11,20,,,,1,,,
2010_07,14655,,8,,9,,,,16,,,12,,,6,70,,,,1,13,,10,2,71,,19,15,,,4,149,,,,13,,,55,,82,,,,32,9,13,41,,,,0,,,
2010_06,14648,,7,,12,,,,4,,,0,,,7,103,,,,2,11,,6,1,104,,30,10,,,7,,,,,14,,,44,,38,,,,14,10,5,52,,,,0,,,
2010_05,14641,,6,0,3,,,,8,,,6,,,5,106,,,,6,6,,6,0,108,,7,23,,,3,,,,,25,,,40,,107,,,,19,11,13,70,,,,0,,,
2010_04,14634,,7,7,10,,,,14,,,5,,,5,81,,,,2,13,,5,3,75,,21,25,,,2,,,,,55,,,62,,97,,,,15,8,8,73,,,,1,,,
2010_03,14627,,2,11,19,,,,13,,,8,,,1,61,,,,3,12,,2,8,96,,12,17,,,3,,,,,41,,,65,,121,,,,6,23,2,56,,,,1,,,
2010_02,14620,,4,1,18,,,,2,,,4,,,1,28,,,,3,12,,5,16,65,,29,12,,,5,,,,,22,,,39,,58,,,,18,12,16,57,,,,0,,,
2010_01,14613,,2,15,10,,,,13,,,6,,,1,75,,,,3,23,,13,14,94,,53,21,,,2,,,,,32,,,57,,36,,,,20,11,22,93,,,,0,,,
2009_53,14606,,6,10,20,,,,6,,,5,,,0,91,,,,1,9,,5,22,67,,45,20,,,4,,,,,48,,,43,,16,,,,23,9,14,38,,,,0,,,
2009_52,14599,,4,20,28,,,,24,,,7,,,2,230,,,,4,24,,13,17,36,,33,20,,,6,,,,,49,,,117,,26,,,,19,8,6,50,,,,0,,,
