"code";"deb_sem";"abon";"abv";"abz";"ahh";"ajb";"ambl";"ants";"atb";"bel";"bela";"bhk";"boe";"bos";"cda";"die";"diri";"dona";"dri";"ejd";"far";"fito";"fns";"iho";"mae";"mand";"mdv";"mhj";"mia";"miad";"mjr";"mnj";"mnld";"mora";"mrb";"mrg";"mrt";"mtn";"nsb";"samp";"sbv";"snam";"stm";"tanb";"tdd";"tgr";"tlr";"toa";"tomp";"tsar";"tsim";"tsl";"velo";"vink";"vola"
"2016_14";"2016-04-04";1;5;7;4;2;0;0;5;19;1;1;9;6;1;27;2;0;0;1;2;0;2;2;6;1;4;5;14;4;6;2;4;1;18;9;7;12;37;0;1;2;0;3;0;5;4;3;1;0;0;5;3;0;1
"2016_13";"2016-03-28";1;5;3;3;0;0;1;11;30;1;1;11;0;0;24;0;3;13;0;11;0;1;11;14;0;5;7;10;1;6;4;7;1;9;15;3;2;4;1;3;0;1;5;0;6;1;16;0;3;2;5;4;2;1
"2016_12";"2016-03-21";1;1;8;1;1;0;2;8;28;2;0;8;1;3;9;1;3;0;3;3;0;3;8;32;2;4;4;7;1;2;0;2;1;0;0;6;7;15;2;2;3;0;6;10;2;3;16;1;1;1;6;2;2;1
"2016_11";"2016-03-14";1;3;8;1;0;0;0;6;17;1;3;13;6;4;9;1;0;9;1;15;0;0;6;16;0;12;8;4;1;4;9;0;0;7;6;3;1;24;4;7;1;2;1;5;5;0;10;1;4;2;3;3;0;1
"2016_10";"2016-03-07";0;0;1;4;0;0;3;3;23;3;0;0;5;8;2;0;2;9;3;3;0;6;10;19;1;10;3;4;2;1;5;2;1;16;9;2;8;13;3;4;1;2;3;10;3;9;9;0;1;1;5;0;1;0
"2016_09";"2016-02-29";0;2;3;1;0;0;2;10;15;2;0;3;0;4;19;1;3;12;0;9;0;0;0;19;0;10;8;10;4;2;9;0;1;15;5;7;4;6;3;5;3;1;1;13;7;2;14;1;1;1;5;3;2;1
"2016_08";"2016-02-22";2;3;6;0;2;0;0;8;1;1;1;10;4;10;2;1;3;12;1;12;0;2;2;14;0;9;6;13;1;5;0;9;1;5;8;7;13;4;1;2;3;2;8;3;1;1;0;0;4;2;6;4;1;1
"2016_07";"2016-02-15";0;6;4;3;1;0;2;4;7;4;4;12;3;9;13;0;1;0;3;3;0;4;5;22;0;4;2;3;3;1;6;9;0;11;14;5;11;21;2;2;0;1;5;11;6;7;2;1;2;1;6;3;2;1
"2016_06";"2016-02-08";2;3;5;1;2;0;2;9;19;4;1;6;2;4;2;2;1;7;2;4;0;2;13;20;2;9;1;7;0;4;6;8;1;2;11;7;9;20;0;4;1;4;1;3;4;8;1;0;2;2;7;1;1;1
"2016_05";"2016-02-01";2;4;4;3;1;0;2;3;20;5;3;13;0;3;1;1;2;1;3;1;0;4;12;13;2;5;2;10;5;3;0;0;1;5;14;7;13;36;2;4;3;2;0;9;7;0;3;0;2;0;1;3;0;1
"2016_04";"2016-01-25";1;1;8;1;2;0;0;11;15;4;0;12;7;10;9;1;1;19;3;4;0;2;8;31;1;8;7;10;5;3;3;1;0;18;1;3;0;19;5;8;0;4;0;12;3;4;1;0;2;0;4;3;2;0
"2016_03";"2016-01-18";1;2;5;1;0;0;0;10;13;0;1;7;0;4;6;1;3;19;1;13;0;1;8;18;0;2;5;13;5;1;1;9;0;7;8;1;2;37;2;3;0;1;5;6;3;0;12;1;4;2;4;3;0;1
