"deb_sem";"abv";"abz";"ahh";"ajb";"atb";"bel";"bhk";"boe";"bos";"cda";"die";"dri";"ejd";"far";"fns";"iho";"mae";"mdv";"mhj";"mia";"mjr";"mnj";"mrb";"mrg";"mrt";"mtn";"nsb";"sbv";"stm";"tdd";"tgr";"tlr";"toa";"tsl"
"2008-03-17";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2008-03-24";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2008-03-31";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2008-04-07";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2008-04-14";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2008-04-21";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2008-04-28";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2008-05-05";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2008-05-12";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2008-05-19";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2008-05-26";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2008-06-02";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2008-06-09";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2008-06-16";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2008-06-23";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2008-06-30";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2008-07-07";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2008-07-14";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2008-07-21";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2008-07-28";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2008-08-04";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2008-08-11";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2008-08-18";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2008-08-25";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2008-09-01";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
"2008-09-08";1;1;NA;1;1;NA;NA;NA;1;NA;NA;1;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;1;NA;NA;NA
