"semaine";"debut";"abk";"abv";"ahh";"ajb";"atb";"bel";"bhk";"boe";"bos";"cda";"die";"ejd";"far";"fia";"iho";"mae";"mdv";"mhj";"mjr";"mnj";"mrb";"mrg";"mrt";"mtn";"nsb";"sbv";"stm";"tdd";"tgr";"tlr";"toa";"tsl"
"2013_39";2013-09-23;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;2;3
"2013_40";2013-09-30;NA;NA;NA;NA;4;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;2
"2013_41";2013-10-07;NA;NA;NA;NA;2;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;1;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;1
"2013_42";2013-10-14;NA;NA;NA;NA;5;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2013_43";2013-10-21;NA;NA;NA;NA;3;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;1;2
"2013_44";2013-10-28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;2
"2013_45";2013-11-04;NA;NA;NA;NA;2;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;2;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;3
"2013_46";2013-11-11;NA;NA;NA;NA;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;2;6
"2013_47";2013-11-18;NA;NA;3;NA;7;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;3;NA;NA;NA;NA;NA;3;NA;NA;3;NA;NA;NA;1
"2013_48";2013-11-25;NA;NA;2;NA;7;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;2
"2013_49";2013-12-02;NA;NA;NA;NA;10;NA;2;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;2;3;NA;NA;NA;NA;NA;4;NA;NA;3;NA;NA;NA;11
"2013_50";2013-12-09;NA;NA;NA;NA;4;NA;3;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;1;NA;NA;1;1
"2013_51";2013-12-16;NA;NA;NA;NA;7;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2013_52";2013-12-23;NA;NA;NA;NA;1;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1
"2014_02";2014-01-06;NA;NA;1;NA;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;3;NA;NA;NA;2
"2014_03";2014-01-13;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;3;NA;NA;NA;NA;NA;4;NA;NA;1;NA
"2014_04";2014-01-20;NA;NA;NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
"2014_05";2014-01-27;NA;NA;NA;NA;2;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;1;1
"2014_06";2014-02-03;NA;NA;NA;NA;3;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;1;NA;NA;NA;NA;1;NA;NA;1;NA;NA;NA;NA
