code,deb_sem,mae
2015_30,2015-07-20,30
2015_29,2015-07-13,37
2015_28,2015-07-06,42
2015_27,2015-06-29,43
2015_26,2015-06-22,22
2015_25,2015-06-15,22
2015_24,2015-06-08,35
2015_23,2015-06-01,22
2015_22,2015-05-25,26
2015_21,2015-05-18,41
2015_20,2015-05-11,37
2015_19,2015-05-04,35
2015_18,2015-04-27,36
2015_17,2015-04-20,30
2015_16,2015-04-13,31
2015_15,2015-04-06,41
2015_14,2015-03-30,46
2015_13,2015-03-23,48
2015_12,2015-03-16,67
2015_11,2015-03-09,72
2015_10,2015-03-02,53
2015_09,2015-02-23,57
2015_08,2015-02-16,49
2015_07,2015-02-09,54
2015_06,2015-02-02,58
2015_05,2015-01-26,42
2015_04,2015-01-19,83
2015_03,2015-01-12,79
2015_02,2015-01-05,33
2015_01,2014-12-29,14
2014_52,2014-12-22,16
2014_51,2014-12-15,27
2014_50,2014-12-08,25
2014_49,2014-12-01,22
2014_48,2014-11-24,22
2014_47,2014-11-17,34
2014_46,2014-11-10,20
2014_45,2014-11-03,23
2014_44,2014-10-27,14
2014_43,2014-10-20,36
2014_42,2014-10-13,21
2014_41,2014-10-06,22
2014_40,2014-09-29,22
2014_39,2014-09-22,12
2014_38,2014-09-15,11
2014_37,2014-09-08,2
2014_36,2014-09-01,14
2014_35,2014-08-25,11
2014_34,2014-08-18,24
2014_33,2014-08-11,10
2014_32,2014-08-04,16
2014_31,2014-07-28,5
2014_30,2014-07-21,9
2014_29,2014-07-14,9
2014_28,2014-07-07,14
2014_27,2014-06-30,4
2014_26,2014-06-23,7
2014_25,2014-06-16,9
2014_24,2014-06-09,8
2014_23,2014-06-02,5
2014_22,2014-05-26,9
2014_21,2014-05-19,6
2014_20,2014-05-12,20
2014_19,2014-05-05,17
2014_18,2014-04-28,12
2014_17,2014-04-21,5
2014_16,2014-04-14,11
2014_15,2014-04-07,10
2014_14,2014-03-31,14
2014_13,2014-03-24,18
2014_12,2014-03-17,16
2014_11,2014-03-10,18
2014_10,2014-03-03,10
2014_09,2014-02-24,7
2014_08,2014-02-17,16
2014_07,2014-02-10,13
2014_06,2014-02-03,20
2014_05,2014-01-27,8
2014_04,2014-01-20,24
2014_03,2014-01-13,14
2014_02,2014-01-06,22
2014_01,2013-12-30,0
2013_52,2013-12-23,43
2013_51,2013-12-16,27
2013_50,2013-12-09,30
2013_49,2013-12-02,15
2013_48,2013-11-25,36
2013_47,2013-11-18,34
2013_46,2013-11-11,48
2013_45,2013-11-04,37
2013_44,2013-10-28,20
2013_43,2013-10-21,50
2013_42,2013-10-14,35
2013_41,2013-10-07,61
2013_40,2013-09-30,48
2013_39,2013-09-23,46
2013_38,2013-09-16,38
2013_37,2013-09-09,32
2013_36,2013-09-02,35
2013_35,2013-08-26,34
2013_34,2013-08-19,27
2013_33,2013-08-12,23
2013_32,2013-08-05,17
2013_31,2013-07-29,12
2013_30,2013-07-22,27
2013_29,2013-07-15,22
2013_28,2013-07-08,17
2013_27,2013-07-01,26
2013_26,2013-06-24,17
2013_25,2013-06-17,32
2013_24,2013-06-10,22
2013_23,2013-06-03,20
2013_22,2013-05-27,23
2013_21,2013-05-20,14
2013_20,2013-05-13,26
2013_19,2013-05-06,12
2013_18,2013-04-29,13
2013_17,2013-04-22,49
2013_16,2013-04-15,61
2013_15,2013-04-08,44
2013_14,2013-04-01,40
2013_13,2013-03-25,35
2013_12,2013-03-18,27
2013_11,2013-03-11,51
2013_10,2013-03-04,37
2013_09,2013-02-25,38
2013_08,2013-02-18,56
2013_07,2013-02-11,37
2013_06,2013-02-04,16
2013_05,2013-01-28,18
2013_04,2013-01-21,26
2013_03,2013-01-14,56
2013_02,2013-01-07,45
2013_01,2012-12-31,52
2012_52,2012-12-24,30
2012_51,2012-12-17,23
2012_50,2012-12-10,8
2012_49,2012-12-03,23
2012_48,2012-11-26,46
2012_47,2012-11-19,42
2012_46,2012-11-12,37
2012_45,2012-11-05,30
2012_44,2012-10-29,16
2012_43,2012-10-22,16
2012_42,2012-10-15,
2012_41,2012-10-08,
2012_40,2012-10-01,9
2012_39,2012-09-24,6
2012_38,2012-09-17,7
2012_37,2012-09-10,27
2012_36,2012-09-03,17
2012_35,2012-08-27,14
2012_34,2012-08-20,14
2012_33,2012-08-13,8
2012_32,2012-08-06,9
2012_31,2012-07-30,12
2012_30,2012-07-23,2
2012_29,2012-07-16,14
2012_28,2012-07-09,18
2012_27,2012-07-02,17
2012_26,2012-06-25,4
2012_25,2012-06-18,8
2012_24,2012-06-11,17
2012_23,2012-06-04,16
2012_22,2012-05-28,15
2012_21,2012-05-21,40
2012_20,2012-05-14,21
2012_19,2012-05-07,37
2012_18,2012-04-30,20
2012_17,2012-04-23,18
2012_16,2012-04-16,19
2012_15,2012-04-09,22
2012_14,2012-04-02,16
2012_13,2012-03-26,11
2012_12,2012-03-19,13
2012_11,2012-03-12,3
2012_10,2012-03-05,17
2012_09,2012-02-27,17
2012_08,2012-02-20,34
2012_07,2012-02-13,22
2012_06,2012-02-06,28
2012_05,2012-01-30,35
2012_04,2012-01-23,22
2012_03,2012-01-16,23
2012_02,2012-01-09,13
2012_01,2012-01-02,24
2011_52,2011-12-26,26
2011_51,2011-12-19,18
2011_50,2011-12-12,24
2011_49,2011-12-05,22
2011_48,2011-11-28,35
2011_47,2011-11-21,46
2011_46,2011-11-14,39
2011_45,2011-11-07,17
2011_44,2011-10-31,5
2011_43,2011-10-24,17
2011_42,2011-10-17,8
2011_41,2011-10-10,15
2011_40,2011-10-03,18
2011_39,2011-09-26,14
2011_38,2011-09-19,15
2011_37,2011-09-12,8
2011_36,2011-09-05,10
2011_35,2011-08-29,5
2011_34,2011-08-22,4
2011_33,2011-08-15,2
2011_32,2011-08-08,5
2011_31,2011-08-01,5
2011_30,2011-07-25,5
2011_29,2011-07-18,0
2011_28,2011-07-11,3
2011_27,2011-07-04,4
2011_26,2011-06-27,2
2011_25,2011-06-20,9
2011_24,2011-06-13,5
2011_23,2011-06-06,8
2011_22,2011-05-30,0
2011_21,2011-05-23,5
2011_20,2011-05-16,7
2011_19,2011-05-09,5
2011_18,2011-05-02,13
2011_17,2011-04-25,9
2011_16,2011-04-18,11
2011_15,2011-04-11,14
2011_14,2011-04-04,13
2011_13,2011-03-28,7
2011_12,2011-03-21,13
2011_11,2011-03-14,5
2011_10,2011-03-07,8
2011_09,2011-02-28,8
2011_08,2011-02-21,8
2011_07,2011-02-14,11
2011_06,2011-02-07,18
2011_05,2011-01-31,14
2011_04,2011-01-24,9
2011_03,2011-01-17,24
2011_02,2011-01-10,23
2011_01,2011-01-03,12
2010_52,2010-12-27,18
2010_51,2010-12-20,13
2010_50,2010-12-13,16
2010_49,2010-12-06,13
2010_48,2010-11-29,18
2010_47,2010-11-22,18
2010_46,2010-11-15,23
2010_45,2010-11-08,22
2010_44,2010-11-01,13
2010_43,2010-10-25,23
2010_42,2010-10-18,6
2010_41,2010-10-11,5
2010_40,2010-10-04,9
2010_39,2010-09-27,8
2010_38,2010-09-20,26
2010_37,2010-09-13,30
2010_36,2010-09-06,16
2010_35,2010-08-30,32
2010_34,2010-08-23,41
2010_33,2010-08-16,40
2010_32,2010-08-09,38
2010_31,2010-08-02,37
2010_30,2010-07-26,27
2010_29,2010-07-19,26
2010_28,2010-07-12,34
2010_27,2010-07-05,42
2010_26,2010-06-28,45
2010_25,2010-06-21,35
2010_24,2010-06-14,32
2010_23,2010-06-07,13
2010_22,2010-05-31,14
2010_21,2010-05-24,20
2010_20,2010-05-17,30
2010_19,2010-05-10,24
2010_18,2010-05-03,35
2010_17,2010-04-26,55
2010_16,2010-04-19,51
2010_15,2010-04-12,66
2010_14,2010-04-05,66
2010_13,2010-03-29,66
2010_12,2010-03-22,63
2010_11,2010-03-15,42
2010_10,2010-03-08,44
2010_09,2010-03-01,40
2010_08,2010-02-22,38
2010_07,2010-02-15,38
2010_06,2010-02-08,67
2010_05,2010-02-01,66
2010_04,2010-01-25,33
2010_03,2010-01-18,34
2010_02,2010-01-11,30
2010_01,2010-01-04,40
2009_53,2009-12-28,24
2009_52,2009-12-21,10
2009_51,2009-12-14,6
2009_50,2009-12-07,20
2009_49,2009-11-30,28
2009_48,2009-11-23,24
2009_47,2009-11-16,14
2009_46,2009-11-09,12
2009_45,2009-11-02,18
2009_44,2009-10-26,18
2009_43,2009-10-19,28
2009_42,2009-10-12,45
2009_41,2009-10-05,37
2009_40,2009-09-28,49
2009_39,2009-09-21,32
2009_38,2009-09-14,33
2009_37,2009-09-07,28
2009_36,2009-08-31,7
2009_35,2009-08-24,24
2009_34,2009-08-17,6
2009_33,2009-08-10,13
2009_32,2009-08-03,12
2009_31,2009-07-27,7
2009_30,2009-07-20,0
2009_29,2009-07-13,4
2009_28,2009-07-06,18
2009_27,2009-06-29,16
2009_26,2009-06-22,23
2009_25,2009-06-15,23
2009_24,2009-06-08,17
2009_23,2009-06-01,26
2009_22,2009-05-25,29
2009_21,2009-05-18,13
2009_20,2009-05-11,22
2009_19,2009-05-04,41
2009_18,2009-04-27,42
2009_17,2009-04-20,29
2009_16,2009-04-13,20
2009_15,2009-04-06,25
2009_14,2009-03-30,28
2009_13,2009-03-23,17
2009_12,2009-03-16,14
2009_11,2009-03-09,22
2009_10,2009-03-02,25
2009_09,2009-02-23,35
2009_08,2009-02-16,29
2009_07,2009-02-09,24
2009_06,2009-02-02,25
2009_05,2009-01-26,27
2009_04,2009-01-19,12
2009_03,2009-01-12,17
2009_02,2009-01-05,16
2009_01,2008-12-29,24
2008_52,2008-12-22,19
2008_51,2008-12-15,40
2008_50,2008-12-08,28
2008_49,2008-12-01,19
2008_48,2008-11-24,23
2008_47,2008-11-17,22
2008_46,2008-11-10,25
2008_45,2008-11-03,10
2008_44,2008-10-27,14
2008_43,2008-10-20,6
2008_42,2008-10-13,22
2008_41,2008-10-06,14
2008_40,2008-09-29,12
2008_39,2008-09-22,18
2008_38,2008-09-15,12
2008_37,2008-09-08,15
2008_36,2008-09-01,6
2008_35,2008-08-25,3
2008_34,2008-08-18,7
2008_33,2008-08-11,5
2008_32,2008-08-04,4
2008_31,2008-07-28,3
2008_30,2008-07-21,8
2008_29,2008-07-14,3
2008_28,2008-07-07,1
2008_27,2008-06-30,2
2008_26,2008-06-23,1
2008_25,2008-06-16,5
2008_24,2008-06-09,7
2008_23,2008-06-02,9
2008_22,2008-05-26,13
2008_21,2008-05-19,11
2008_20,2008-05-12,4
2008_19,2008-05-05,14
2008_18,2008-04-28,13
2008_17,2008-04-21,20
2008_16,2008-04-14,30
2008_15,2008-04-07,19
2008_14,2008-03-31,3
2008_13,2008-03-24,8
2008_12,2008-03-17,7
2008_11,2008-03-10,7
2008_10,2008-03-03,11
2008_09,2008-02-25,15
