"code";"deb_sem";"sites";"perc_rank"
"2013_25";"2013-06-17";"cda";94
"2013_24";"2013-06-10";"cda";94
"2013_23";"2013-06-03";"cda";94
"2013_22";"2013-05-27";"cda";94
"2013_21";"2013-05-20";"cda";94
"2013_20";"2013-05-13";"cda";94
"2013_19";"2013-05-06";"cda";94
"2013_18";"2013-04-29";"cda";94
"2013_17";"2013-04-22";"cda";94
"2013_16";"2013-04-15";"cda";100
"2013_15";"2013-04-08";"cda";94
"2013_14";"2013-04-01";"cda";94
"2013_13";"2013-03-25";"cda";94
"2013_12";"2013-03-18";"cda";100
"2013_11";"2013-03-11";"cda";94
"2013_10";"2013-03-04";"cda";99
"2013_09";"2013-02-25";"cda";94
"2013_08";"2013-02-18";"cda";94
"2013_07";"2013-02-11";"cda";94
"2013_06";"2013-02-04";"cda";94
"2013_05";"2013-01-28";"cda";99
"2013_04";"2013-01-21";"cda";94
"2013_03";"2013-01-14";"cda";94
"2013_02";"2013-01-07";"cda";94
"2013_01";"2012-12-31";"cda";0
"2012_52";"2012-12-24";"cda";94
"2012_51";"2012-12-17";"cda";94
"2012_50";"2012-12-10";"cda";94
"2012_49";"2012-12-03";"cda";94
"2012_48";"2012-11-26";"cda";99
"2012_47";"2012-11-19";"cda";94
"2012_46";"2012-11-12";"cda";94
"2012_45";"2012-11-05";"cda";94
"2012_44";"2012-10-29";"cda";94
"2012_43";"2012-10-22";"cda";94
"2012_42";"2012-10-15";"cda";94
"2012_41";"2012-10-08";"cda";94
"2012_40";"2012-10-01";"cda";94
"2012_39";"2012-09-24";"cda";94
"2012_38";"2012-09-17";"cda";94
"2012_37";"2012-09-10";"cda";94
"2012_36";"2012-09-03";"cda";94
"2012_35";"2012-08-27";"cda";94
"2012_34";"2012-08-20";"cda";94
"2012_33";"2012-08-13";"cda";94
"2012_32";"2012-08-06";"cda";94
"2012_31";"2012-07-30";"cda";94
"2012_30";"2012-07-23";"cda";94
"2012_29";"2012-07-16";"cda";94
"2012_28";"2012-07-09";"cda";94
"2012_27";"2012-07-02";"cda";94
"2012_26";"2012-06-25";"cda";94
"2012_25";"2012-06-18";"cda";94
"2012_24";"2012-06-11";"cda";94
"2012_23";"2012-06-04";"cda";94
"2012_22";"2012-05-28";"cda";94
"2012_21";"2012-05-21";"cda";94
"2012_20";"2012-05-14";"cda";94
"2012_19";"2012-05-07";"cda";94
"2012_18";"2012-04-30";"cda";94
"2012_17";"2012-04-23";"cda";94
"2012_16";"2012-04-16";"cda";94
"2012_15";"2012-04-09";"cda";94
"2012_14";"2012-04-02";"cda";94
"2012_13";"2012-03-26";"cda";94
"2012_12";"2012-03-19";"cda";94
"2012_11";"2012-03-12";"cda";94
"2012_10";"2012-03-05";"cda";94
"2012_09";"2012-02-27";"cda";94
"2012_08";"2012-02-20";"cda";94
"2012_07";"2012-02-13";"cda";94
"2012_06";"2012-02-06";"cda";94
"2012_05";"2012-01-30";"cda";94
"2012_04";"2012-01-23";"cda";94
"2012_03";"2012-01-16";"cda";94
"2012_02";"2012-01-09";"cda";94
"2012_01";"2012-01-02";"cda";94
"2016_24";"2016-06-13";"die";62
"2016_23";"2016-06-06";"die";62
"2016_22";"2016-05-30";"die";62
"2016_21";"2016-05-23";"die";62
"2016_20";"2016-05-16";"die";62
"2016_19";"2016-05-09";"die";62
"2016_18";"2016-05-02";"die";62
"2016_17";"2016-04-25";"die";62
"2016_16";"2016-04-18";"die";62
"2016_15";"2016-04-11";"die";62
"2016_14";"2016-04-04";"die";62
"2016_13";"2016-03-28";"die";85
"2016_12";"2016-03-21";"die";96
"2016_11";"2016-03-14";"die";85
"2016_10";"2016-03-07";"die";85
"2016_09";"2016-02-29";"die";62
"2016_08";"2016-02-22";"die";62
"2016_07";"2016-02-15";"die";62
"2016_06";"2016-02-08";"die";62
"2016_05";"2016-02-01";"die";62
"2016_04";"2016-01-25";"die";62
"2016_03";"2016-01-18";"die";62
"2016_02";"2016-01-11";"die";62
"2016_01";"2016-01-04";"die";85
"2015_53";"2015-12-28";"die";62
"2015_52";"2015-12-21";"die";62
"2015_51";"2015-12-14";"die";62
"2015_50";"2015-12-07";"die";62
"2015_49";"2015-11-30";"die";62
"2015_48";"2015-11-23";"die";62
"2015_47";"2015-11-16";"die";62
"2015_46";"2015-11-09";"die";99
"2015_45";"2015-11-02";"die";96
"2015_44";"2015-10-26";"die";85
"2015_43";"2015-10-19";"die";100
"2015_42";"2015-10-12";"die";99
"2015_41";"2015-10-05";"die";99
"2015_40";"2015-09-28";"die";96
"2015_39";"2015-09-21";"die";100
"2015_38";"2015-09-14";"die";99
"2015_37";"2015-09-07";"die";62
"2015_36";"2015-08-31";"die";62
"2015_35";"2015-08-24";"die";62
"2015_34";"2015-08-17";"die";85
"2015_33";"2015-08-10";"die";62
"2015_32";"2015-08-03";"die";62
"2015_31";"2015-07-27";"die";96
"2015_30";"2015-07-20";"die";62
"2015_29";"2015-07-13";"die";62
"2015_28";"2015-07-06";"die";62
"2015_27";"2015-06-29";"die";62
"2015_26";"2015-06-22";"die";85
"2015_25";"2015-06-15";"die";62
"2015_24";"2015-06-08";"die";85
"2015_23";"2015-06-01";"die";85
"2015_22";"2015-05-25";"die";62
"2015_21";"2015-05-18";"die";62
"2015_20";"2015-05-11";"die";62
"2015_19";"2015-05-04";"die";62
"2015_18";"2015-04-27";"die";62
"2015_17";"2015-04-20";"die";96
"2015_16";"2015-04-13";"die";96
"2015_15";"2015-04-06";"die";96
"2015_14";"2015-03-30";"die";62
"2015_13";"2015-03-23";"die";62
"2015_12";"2015-03-16";"die";62
"2015_11";"2015-03-09";"die";85
"2015_10";"2015-03-02";"die";62
"2015_09";"2015-02-23";"die";62
"2015_08";"2015-02-16";"die";62
"2015_07";"2015-02-09";"die";62
"2015_06";"2015-02-02";"die";62
"2015_05";"2015-01-26";"die";85
"2015_04";"2015-01-19";"die";62
"2015_03";"2015-01-12";"die";85
"2015_02";"2015-01-05";"die";62
"2015_01";"2014-12-29";"die";62
"2014_52";"2014-12-22";"die";62
"2014_51";"2014-12-15";"die";62
"2014_50";"2014-12-08";"die";85
"2014_49";"2014-12-01";"die";96
"2014_48";"2014-11-24";"die";62
"2014_47";"2014-11-17";"die";62
"2014_46";"2014-11-10";"die";62
"2014_45";"2014-11-03";"die";62
"2014_44";"2014-10-27";"die";96
"2014_43";"2014-10-20";"die";62
"2014_42";"2014-10-13";"die";85
"2014_41";"2014-10-06";"die";62
"2014_40";"2014-09-29";"die";85
"2014_39";"2014-09-22";"die";62
"2014_38";"2014-09-15";"die";85
"2014_37";"2014-09-08";"die";62
"2014_36";"2014-09-01";"die";62
"2014_35";"2014-08-25";"die";62
"2014_34";"2014-08-18";"die";62
"2014_33";"2014-08-11";"die";62
"2014_32";"2014-08-04";"die";62
"2014_31";"2014-07-28";"die";62
"2014_30";"2014-07-21";"die";62
"2014_29";"2014-07-14";"die";62
"2014_28";"2014-07-07";"die";62
"2014_27";"2014-06-30";"die";85
"2014_26";"2014-06-23";"die";62
"2014_25";"2014-06-16";"die";85
"2014_24";"2014-06-09";"die";62
"2014_23";"2014-06-02";"die";62
"2014_22";"2014-05-26";"die";62
"2014_21";"2014-05-19";"die";62
"2014_20";"2014-05-12";"die";85
"2014_19";"2014-05-05";"die";85
"2014_18";"2014-04-28";"die";85
"2014_17";"2014-04-21";"die";62
"2014_16";"2014-04-14";"die";62
"2014_15";"2014-04-07";"die";62
"2014_14";"2014-03-31";"die";62
"2014_13";"2014-03-24";"die";62
"2014_12";"2014-03-17";"die";85
"2014_11";"2014-03-10";"die";96
"2014_10";"2014-03-03";"die";62
"2014_09";"2014-02-24";"die";62
"2014_08";"2014-02-17";"die";62
"2014_07";"2014-02-10";"die";85
"2014_06";"2014-02-03";"die";62
"2014_05";"2014-01-27";"die";85
"2014_04";"2014-01-20";"die";62
"2014_03";"2014-01-13";"die";96
"2014_02";"2014-01-06";"die";62
"2014_01";"2013-12-30";"die";62
"2013_52";"2013-12-23";"die";96
"2013_51";"2013-12-16";"die";96
"2013_50";"2013-12-09";"die";96
"2013_49";"2013-12-02";"die";85
"2013_48";"2013-11-25";"die";96
"2013_47";"2013-11-18";"die";62
"2013_46";"2013-11-11";"die";62
"2013_45";"2013-11-04";"die";62
"2013_44";"2013-10-28";"die";85
"2013_43";"2013-10-21";"die";85
"2013_42";"2013-10-14";"die";99
"2013_41";"2013-10-07";"die";85
"2013_40";"2013-09-30";"die";62
"2013_39";"2013-09-23";"die";62
"2013_38";"2013-09-16";"die";62
"2013_37";"2013-09-09";"die";62
"2013_36";"2013-09-02";"die";62
"2013_35";"2013-08-26";"die";85
"2013_34";"2013-08-19";"die";85
"2013_33";"2013-08-12";"die";62
"2013_32";"2013-08-05";"die";62
"2013_31";"2013-07-29";"die";96
"2013_30";"2013-07-22";"die";96
"2013_29";"2013-07-15";"die";62
"2013_28";"2013-07-08";"die";85
"2013_27";"2013-07-01";"die";62
"2013_26";"2013-06-24";"die";62
"2013_25";"2013-06-17";"die";96
"2013_24";"2013-06-10";"die";96
"2013_23";"2013-06-03";"die";96
"2013_22";"2013-05-27";"die";85
"2013_21";"2013-05-20";"die";99
"2013_20";"2013-05-13";"die";62
"2013_19";"2013-05-06";"die";100
"2013_18";"2013-04-29";"die";96
"2013_17";"2013-04-22";"die";96
"2013_16";"2013-04-15";"die";96
"2013_15";"2013-04-08";"die";85
"2013_14";"2013-04-01";"die";96
"2013_13";"2013-03-25";"die";62
"2013_12";"2013-03-18";"die";85
"2013_11";"2013-03-11";"die";62
"2013_10";"2013-03-04";"die";62
"2013_09";"2013-02-25";"die";62
"2013_08";"2013-02-18";"die";62
"2013_07";"2013-02-11";"die";85
"2013_06";"2013-02-04";"die";96
"2013_05";"2013-01-28";"die";96
"2013_04";"2013-01-21";"die";96
"2013_03";"2013-01-14";"die";62
"2013_02";"2013-01-07";"die";85
"2013_01";"2012-12-31";"die";62
"2012_52";"2012-12-24";"die";62
"2012_51";"2012-12-17";"die";62
"2012_50";"2012-12-10";"die";62
"2012_49";"2012-12-03";"die";85
"2012_48";"2012-11-26";"die";0
"2012_47";"2012-11-19";"die";62
"2012_46";"2012-11-12";"die";85
"2012_45";"2012-11-05";"die";62
"2012_44";"2012-10-29";"die";62
"2012_43";"2012-10-22";"die";96
"2012_42";"2012-10-15";"die";96
"2012_41";"2012-10-08";"die";99
"2012_40";"2012-10-01";"die";96
"2012_39";"2012-09-24";"die";62
"2012_38";"2012-09-17";"die";62
"2012_37";"2012-09-10";"die";62
"2012_36";"2012-09-03";"die";96
"2012_35";"2012-08-27";"die";62
"2012_34";"2012-08-20";"die";62
"2012_33";"2012-08-13";"die";62
"2012_32";"2012-08-06";"die";85
"2012_31";"2012-07-30";"die";96
"2012_30";"2012-07-23";"die";96
"2012_29";"2012-07-16";"die";62
"2012_28";"2012-07-09";"die";62
"2012_27";"2012-07-02";"die";62
"2012_26";"2012-06-25";"die";85
"2012_25";"2012-06-18";"die";62
"2012_24";"2012-06-11";"die";62
"2012_23";"2012-06-04";"die";62
"2012_22";"2012-05-28";"die";96
"2012_21";"2012-05-21";"die";62
"2012_20";"2012-05-14";"die";85
"2012_19";"2012-05-07";"die";62
"2012_18";"2012-04-30";"die";62
"2012_17";"2012-04-23";"die";62
"2012_16";"2012-04-16";"die";96
"2012_15";"2012-04-09";"die";85
"2012_14";"2012-04-02";"die";62
"2012_13";"2012-03-26";"die";62
"2012_12";"2012-03-19";"die";85
"2012_11";"2012-03-12";"die";62
"2012_10";"2012-03-05";"die";62
"2012_09";"2012-02-27";"die";96
"2012_08";"2012-02-20";"die";96
"2012_07";"2012-02-13";"die";62
"2012_06";"2012-02-06";"die";85
"2012_05";"2012-01-30";"die";62
"2012_04";"2012-01-23";"die";85
"2012_03";"2012-01-16";"die";62
"2012_02";"2012-01-09";"die";62
"2012_01";"2012-01-02";"die";62
"2016_24";"2016-06-13";"diri";88
"2016_23";"2016-06-06";"diri";88
"2016_22";"2016-05-30";"diri";88
"2016_21";"2016-05-23";"diri";88
"2016_20";"2016-05-16";"diri";88
"2016_19";"2016-05-09";"diri";88
"2016_18";"2016-05-02";"diri";88
"2016_17";"2016-04-25";"diri";88
"2016_16";"2016-04-18";"diri";100
"2016_15";"2016-04-11";"diri";100
"2016_14";"2016-04-04";"diri";88
"2016_13";"2016-03-28";"diri";100
"2016_12";"2016-03-21";"diri";88
"2016_11";"2016-03-14";"diri";88
"2016_10";"2016-03-07";"diri";100
"2016_09";"2016-02-29";"diri";100
"2016_08";"2016-02-22";"diri";88
"2016_07";"2016-02-15";"diri";88
"2016_06";"2016-02-08";"diri";88
"2016_05";"2016-02-01";"diri";88
"2016_04";"2016-01-25";"diri";88
"2016_03";"2016-01-18";"diri";88
"2016_02";"2016-01-11";"diri";88
"2016_01";"2016-01-04";"diri";88
"2015_53";"2015-12-28";"diri";88
"2015_52";"2015-12-21";"diri";88
"2015_51";"2015-12-14";"diri";88
"2015_50";"2015-12-07";"diri";88
"2015_49";"2015-11-30";"diri";88
"2015_48";"2015-11-23";"diri";88
"2015_47";"2015-11-16";"diri";88
"2015_46";"2015-11-09";"diri";88
"2015_45";"2015-11-02";"diri";88
"2015_44";"2015-10-26";"diri";88
"2015_43";"2015-10-19";"diri";88
"2015_42";"2015-10-12";"diri";88
"2015_41";"2015-10-05";"diri";88
"2015_40";"2015-09-28";"diri";88
"2015_39";"2015-09-21";"diri";88
"2015_38";"2015-09-14";"diri";88
"2015_37";"2015-09-07";"diri";88
"2015_36";"2015-08-31";"diri";88
"2015_35";"2015-08-24";"diri";88
"2015_34";"2015-08-17";"diri";88
"2015_33";"2015-08-10";"diri";88
"2015_32";"2015-08-03";"diri";100
"2015_31";"2015-07-27";"diri";88
"2015_30";"2015-07-20";"diri";88
"2015_29";"2015-07-13";"diri";0
"2015_28";"2015-07-06";"diri";0
"2015_27";"2015-06-29";"diri";0
"2015_26";"2015-06-22";"diri";0
"2015_25";"2015-06-15";"diri";0
"2015_24";"2015-06-08";"diri";0
"2015_23";"2015-06-01";"diri";0
"2015_22";"2015-05-25";"diri";0
"2015_21";"2015-05-18";"diri";0
"2015_20";"2015-05-11";"diri";0
"2015_19";"2015-05-04";"diri";0
"2015_18";"2015-04-27";"diri";0
"2015_17";"2015-04-20";"diri";0
"2015_16";"2015-04-13";"diri";0
"2015_15";"2015-04-06";"diri";0
"2015_14";"2015-03-30";"diri";0
"2015_13";"2015-03-23";"diri";0
"2015_12";"2015-03-16";"diri";0
"2015_11";"2015-03-09";"diri";0
"2015_10";"2015-03-02";"diri";0
"2015_09";"2015-02-23";"diri";0
"2015_08";"2015-02-16";"diri";0
"2015_07";"2015-02-09";"diri";0
"2015_06";"2015-02-02";"diri";0
"2015_05";"2015-01-26";"diri";0
"2015_04";"2015-01-19";"diri";0
"2015_03";"2015-01-12";"diri";0
"2015_02";"2015-01-05";"diri";0
"2015_01";"2014-12-29";"diri";0
"2014_52";"2014-12-22";"diri";0
"2014_51";"2014-12-15";"diri";0
"2014_50";"2014-12-08";"diri";0
"2014_49";"2014-12-01";"diri";0
"2014_48";"2014-11-24";"diri";0
"2014_47";"2014-11-17";"diri";0
"2014_46";"2014-11-10";"diri";0
"2014_45";"2014-11-03";"diri";0
"2014_44";"2014-10-27";"diri";0
"2014_43";"2014-10-20";"diri";0
"2014_42";"2014-10-13";"diri";0
"2014_41";"2014-10-06";"diri";0
"2014_40";"2014-09-29";"diri";0
"2014_39";"2014-09-22";"diri";0
"2014_38";"2014-09-15";"diri";0
"2014_37";"2014-09-08";"diri";0
"2014_36";"2014-09-01";"diri";0
"2014_35";"2014-08-25";"diri";0
"2014_34";"2014-08-18";"diri";0
"2014_33";"2014-08-11";"diri";0
"2014_32";"2014-08-04";"diri";0
"2014_31";"2014-07-28";"diri";0
"2014_30";"2014-07-21";"diri";0
"2014_29";"2014-07-14";"diri";0
"2014_28";"2014-07-07";"diri";0
"2014_27";"2014-06-30";"diri";0
"2014_26";"2014-06-23";"diri";0
"2014_25";"2014-06-16";"diri";0
"2014_24";"2014-06-09";"diri";0
"2014_23";"2014-06-02";"diri";0
"2014_22";"2014-05-26";"diri";0
"2014_21";"2014-05-19";"diri";0
"2014_20";"2014-05-12";"diri";0
"2014_19";"2014-05-05";"diri";0
"2014_18";"2014-04-28";"diri";0
"2014_17";"2014-04-21";"diri";0
"2014_16";"2014-04-14";"diri";0
"2014_15";"2014-04-07";"diri";0
"2014_14";"2014-03-31";"diri";0
"2014_13";"2014-03-24";"diri";0
"2014_12";"2014-03-17";"diri";0
"2014_11";"2014-03-10";"diri";0
"2014_10";"2014-03-03";"diri";0
"2014_09";"2014-02-24";"diri";0
"2014_08";"2014-02-17";"diri";0
"2014_07";"2014-02-10";"diri";0
"2014_06";"2014-02-03";"diri";0
"2014_05";"2014-01-27";"diri";0
"2014_04";"2014-01-20";"diri";0
"2014_03";"2014-01-13";"diri";0
"2014_02";"2014-01-06";"diri";0
"2014_01";"2013-12-30";"diri";0
"2013_52";"2013-12-23";"diri";0
"2013_51";"2013-12-16";"diri";0
"2013_50";"2013-12-09";"diri";0
"2013_49";"2013-12-02";"diri";0
"2013_48";"2013-11-25";"diri";0
"2013_47";"2013-11-18";"diri";0
"2013_46";"2013-11-11";"diri";0
"2013_45";"2013-11-04";"diri";0
"2013_44";"2013-10-28";"diri";0
"2013_43";"2013-10-21";"diri";0
"2013_42";"2013-10-14";"diri";0
"2013_41";"2013-10-07";"diri";0
"2013_40";"2013-09-30";"diri";0
"2013_39";"2013-09-23";"diri";0
"2013_38";"2013-09-16";"diri";0
"2013_37";"2013-09-09";"diri";0
"2013_36";"2013-09-02";"diri";0
"2013_35";"2013-08-26";"diri";0
"2013_34";"2013-08-19";"diri";0
"2013_33";"2013-08-12";"diri";0
"2013_32";"2013-08-05";"diri";0
"2013_31";"2013-07-29";"diri";0
"2013_30";"2013-07-22";"diri";0
"2013_29";"2013-07-15";"diri";0
"2013_28";"2013-07-08";"diri";0
"2013_27";"2013-07-01";"diri";0
"2013_26";"2013-06-24";"diri";0
"2013_25";"2013-06-17";"diri";0
"2013_24";"2013-06-10";"diri";0
"2013_23";"2013-06-03";"diri";0
"2013_22";"2013-05-27";"diri";0
"2013_21";"2013-05-20";"diri";0
"2013_20";"2013-05-13";"diri";0
"2013_19";"2013-05-06";"diri";0
"2013_18";"2013-04-29";"diri";0
"2013_17";"2013-04-22";"diri";0
"2013_16";"2013-04-15";"diri";0
"2013_15";"2013-04-08";"diri";0
"2013_14";"2013-04-01";"diri";0
"2013_13";"2013-03-25";"diri";0
"2013_12";"2013-03-18";"diri";0
"2013_11";"2013-03-11";"diri";0
"2013_10";"2013-03-04";"diri";0
"2013_09";"2013-02-25";"diri";0
"2013_08";"2013-02-18";"diri";0
"2013_07";"2013-02-11";"diri";0
